sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,08/08/2024,8,361.92,18096.0,17734.08
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,30/08/2024,16,222.72,11136.0,10913.28
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,18/08/2024,8,148.48,7424.0,7275.52
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,22/08/2024,15,0.0,10440.0,10440.0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,09/08/2024,21,292.32,14616.0,14323.68
14,Movit Styling Gel,162.4,29/08/2024,3,9.74,487.2,477.46
2,Darling Fluffy Kinky,406.0,25/08/2024,12,97.44,4872.0,4774.56
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,08/08/2024,16,92.8,4640.0,4547.2
8,Radiant Anti-dandruff,92.8,08/08/2024,18,33.41,1670.4,1636.99
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,25/08/2024,5,0.0,5411.4,5411.4
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,05/08/2024,8,0.0,9595.52,9595.52
3,Angels Natural Locs,638.0,09/08/2024,20,0.0,12760.0,12760.0
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,08/08/2024,13,241.28,12064.0,11822.72
6,Baby Love Anti-dandruffs,301.6,24/08/2024,7,0.0,2111.2,2111.2
8,Radiant Anti-dandruff,92.8,31/08/2024,20,37.12,1856.0,1818.88
13,Movit Curl Gel,220.4,08/08/2024,5,0.0,1102.0,1102.0
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,16/08/2024,16,296.96,14848.0,14551.04
34,Garnier Pure Active Intensive Spots,13022.16,12/08/2024,12,0.0,156265.92,156265.92
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,25/08/2024,17,315.52,15776.0,15460.48
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,15/08/2024,19,0.0,20563.32,20563.32
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,08/08/2024,18,438.48,21924.0,21485.52
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,12/08/2024,13,316.68,15834.0,15517.32
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160.0,12/08/2024,19,0.0,22040.0,22040.0
6,Baby Love Anti-dandruffs,301.6,02/08/2024,9,0.0,2714.4,2714.4
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,26/08/2024,12,222.72,11136.0,10913.28
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1199.44,23/08/2024,17,0.0,20390.48,20390.48
10,Amara body lotion men,232.0,10/08/2024,23,106.72,5336.0,5229.28
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,30/08/2024,16,296.96,14848.0,14551.04
35,Garnier ven & matte soft smoothing 125 ml,392.08,01/08/2024,7,0.0,2744.56,2744.56
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,05/08/2024,17,394.4,19720.0,19325.6
3,Angels Natural Locs,638.0,12/08/2024,3,38.28,1914.0,1875.72
34,Garnier Pure Active Intensive Spots,13022.16,26/08/2024,1,260.44,13022.16,12761.72
4,Tamasha Dread,324.8,01/08/2024,18,0.0,5846.4,5846.4
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,28/08/2024,20,0.0,24360.0,24360.0
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,21/08/2024,23,0.0,21344.0,21344.0
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,11/08/2024,10,0.0,9280.0,9280.0
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,08/08/2024,22,0.0,20416.0,20416.0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160.0,14/08/2024,1,0.0,1160.0,1160.0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160.0,18/08/2024,20,0.0,23200.0,23200.0
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,30/08/2024,3,64.94,3246.84,3181.9
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,07/08/2024,12,0.0,11136.0,11136.0
13,Movit Curl Gel,220.4,24/08/2024,16,70.53,3526.4,3455.87
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,28/08/2024,20,432.91,21645.6,21212.69
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,10/08/2024,1,5.8,290.0,284.2
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,21/08/2024,19,0.0,17632.0,17632.0
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,03/08/2024,9,215.9,10794.96,10579.06
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,15/08/2024,6,1080.05,54002.64,52922.59
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,06/08/2024,12,0.0,3480.0,3480.0
34,Garnier Pure Active Intensive Spots,13022.16,07/08/2024,7,0.0,91155.12,91155.12
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,25/08/2024,15,359.83,17991.6,17631.77
