sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,09/12/2024,22,0.0,20416.0,20416.0
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,25/12/2024,9,208.8,10440.0,10231.2
7,Bamsi Hair fertilizer,58.0,20/12/2024,13,0.0,754.0,754.0
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,11/12/2024,20,0.0,23200.0,23200.0
13,Movit Curl Gel,220.4,14/12/2024,17,0.0,3746.8,3746.8
27,MAYBELLINE BABY LIPS BALM CHERRY ME,290.0,27/12/2024,14,0.0,4060.0,4060.0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1199.44,09/12/2024,2,47.98,2398.88,2350.9
3,Angels Natural Locs,638.0,27/12/2024,2,0.0,1276.0,1276.0
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,29/12/2024,21,389.76,19488.0,19098.24
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,10/12/2024,21,0.0,24360.0,24360.0
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,21/12/2024,1,0.0,928.0,928.0
1,Angels Avis Long,81.2,06/12/2024,14,0.0,1136.8,1136.8
14,Movit Styling Gel,162.4,17/12/2024,23,74.7,3735.2,3660.5
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,06/12/2024,9,52.2,2610.0,2557.8
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,04/12/2024,12,0.0,27144.0,27144.0
4,Tamasha Dread,324.8,03/12/2024,19,123.42,6171.2,6047.78
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,27/12/2024,21,0.0,24360.0,24360.0
34,Garnier Pure Active Intensive Spots,13022.16,05/12/2024,20,0.0,260443.2,260443.2
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,11/12/2024,19,352.64,17632.0,17279.36
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,11/12/2024,15,278.4,13920.0,13641.6
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,06/12/2024,20,0.0,56004.8,56004.8
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,23/12/2024,3,0.0,3246.84,3246.84
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,26/12/2024,19,859.56,42978.0,42118.44
9,Amara body lotion milk,133.4,29/12/2024,6,16.01,800.4,784.39
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,29/12/2024,5,0.0,4640.0,4640.0
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,22/12/2024,11,0.0,11905.08,11905.08
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160.0,03/12/2024,25,0.0,29000.0,29000.0
27,MAYBELLINE BABY LIPS BALM CHERRY ME,290.0,10/12/2024,7,0.0,2030.0,2030.0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,16/12/2024,3,73.08,3654.0,3580.92
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,20/12/2024,16,0.0,14848.0,14848.0
33,Garnier oil control complete vanishing cream 40 ml,2400.04,14/12/2024,25,1200.02,60001.0,58800.98
34,Garnier Pure Active Intensive Spots,13022.16,11/12/2024,4,1041.77,52088.64,51046.87
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,22/12/2024,10,0.0,10822.8,10822.8
4,Tamasha Dread,324.8,16/12/2024,13,0.0,4222.4,4222.4
35,Garnier ven & matte soft smoothing 125 ml,392.08,18/12/2024,25,196.04,9802.0,9605.96
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,22/12/2024,6,0.0,16801.44,16801.44
7,Bamsi Hair fertilizer,58.0,05/12/2024,16,0.0,928.0,928.0
34,Garnier Pure Active Intensive Spots,13022.16,15/12/2024,8,2083.55,104177.28,102093.73
1,Angels Avis Long,81.2,07/12/2024,5,8.12,406.0,397.88
6,Baby Love Anti-dandruffs,301.6,08/12/2024,7,0.0,2111.2,2111.2
35,Garnier ven & matte soft smoothing 125 ml,392.08,18/12/2024,22,0.0,8625.76,8625.76
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,02/12/2024,19,352.64,17632.0,17279.36
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,03/12/2024,3,0.0,27001.32,27001.32
33,Garnier oil control complete vanishing cream 40 ml,2400.04,06/12/2024,20,0.0,48000.8,48000.8
2,Darling Fluffy Kinky,406.0,26/12/2024,11,89.32,4466.0,4376.68
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,28/12/2024,14,0.0,31668.0,31668.0
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1160.0,20/12/2024,4,0.0,4640.0,4640.0
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,28/12/2024,19,440.8,22040.0,21599.2
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,30/12/2024,23,497.85,24892.44,24394.59
11,Amara body lotion coco butter,232.0,05/12/2024,16,0.0,3712.0,3712.0
