sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,23/01/2024,2,0.0,2164.56,2164.56
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,30/01/2024,25,0.0,27057.0,27057.0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,18/01/2024,8,0.0,9744.0,9744.0
7,Bamsi Hair fertilizer,58.0,15/01/2024,17,0.0,986.0,986.0
35,Garnier ven & matte soft smoothing 125 ml,392.08,17/01/2024,19,0.0,7449.52,7449.52
6,Baby Love Anti-dandruffs,301.6,19/01/2024,7,42.22,2111.2,2068.98
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,15/01/2024,22,535.92,26796.0,26260.08
14,Movit Styling Gel,162.4,17/01/2024,24,0.0,3897.6,3897.6
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,09/01/2024,16,0.0,18560.0,18560.0
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160.0,15/01/2024,15,0.0,17400.0,17400.0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,07/01/2024,4,55.68,2784.0,2728.32
7,Bamsi Hair fertilizer,58.0,06/01/2024,22,25.52,1276.0,1250.48
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,27/01/2024,15,0.0,13920.0,13920.0
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,19/01/2024,18,0.0,19481.04,19481.04
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160.0,20/01/2024,5,116.0,5800.0,5684.0
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,26/01/2024,17,367.98,18398.76,18030.78
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,22/01/2024,13,0.0,15080.0,15080.0
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,24/01/2024,25,0.0,29000.0,29000.0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1199.44,21/01/2024,15,359.83,17991.6,17631.77
11,Amara body lotion coco butter,232.0,26/01/2024,25,116.0,5800.0,5684.0
6,Baby Love Anti-dandruffs,301.6,22/01/2024,19,0.0,5730.4,5730.4
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,30/01/2024,14,0.0,17052.0,17052.0
13,Movit Curl Gel,220.4,23/01/2024,17,0.0,3746.8,3746.8
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,19/01/2024,2,90.48,4524.0,4433.52
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,05/01/2024,3,540.03,27001.32,26461.29
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,16/01/2024,11,497.64,24882.0,24384.36
14,Movit Styling Gel,162.4,07/01/2024,19,0.0,3085.6,3085.6
4,Tamasha Dread,324.8,15/01/2024,20,129.92,6496.0,6366.08
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,25/01/2024,21,0.0,19488.0,19488.0
14,Movit Styling Gel,162.4,15/01/2024,14,0.0,2273.6,2273.6
2,Darling Fluffy Kinky,406.0,27/01/2024,22,0.0,8932.0,8932.0
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,17/01/2024,8,0.0,8658.24,8658.24
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,16/01/2024,8,1440.07,72003.52,70563.45
8,Radiant Anti-dandruff,92.8,26/01/2024,20,0.0,1856.0,1856.0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,08/01/2024,25,0.0,17400.0,17400.0
27,MAYBELLINE BABY LIPS BALM CHERRY ME,290.0,18/01/2024,16,0.0,4640.0,4640.0
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,28/01/2024,20,0.0,18560.0,18560.0
35,Garnier ven & matte soft smoothing 125 ml,392.08,04/01/2024,14,0.0,5489.12,5489.12
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160.0,24/01/2024,3,69.6,3480.0,3410.4
8,Radiant Anti-dandruff,92.8,10/01/2024,15,0.0,1392.0,1392.0
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,09/01/2024,8,148.48,7424.0,7275.52
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,28/01/2024,5,900.04,45002.2,44102.16
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,10/01/2024,5,0.0,5411.4,5411.4
14,Movit Styling Gel,162.4,04/01/2024,1,3.25,162.4,159.15
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,08/01/2024,21,0.0,22727.88,22727.88
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,31/01/2024,10,58.0,2900.0,2842.0
7,Bamsi Hair fertilizer,58.0,14/01/2024,25,0.0,1450.0,1450.0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1199.44,14/01/2024,6,0.0,7196.64,7196.64
4,Tamasha Dread,324.8,26/01/2024,23,0.0,7470.4,7470.4
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,12/01/2024,17,0.0,18398.76,18398.76
