sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,07/11/2024,23,426.88,21344.0,20917.12
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,15/11/2024,4,74.24,3712.0,3637.76
2,Darling Fluffy Kinky,406.0,12/11/2024,24,194.88,9744.0,9549.12
3,Angels Natural Locs,638.0,01/11/2024,7,89.32,4466.0,4376.68
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,29/11/2024,22,0.0,23810.16,23810.16
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,18/11/2024,25,0.0,56550.0,56550.0
33,Garnier oil control complete vanishing cream 40 ml,2400.04,16/11/2024,6,288.0,14400.24,14112.24
9,Amara body lotion milk,133.4,05/11/2024,9,0.0,1200.6,1200.6
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,29/11/2024,3,0.0,3480.0,3480.0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,07/11/2024,12,167.04,8352.0,8184.96
34,Garnier Pure Active Intensive Spots,13022.16,14/11/2024,25,0.0,325554.0,325554.0
2,Darling Fluffy Kinky,406.0,28/11/2024,8,0.0,3248.0,3248.0
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,26/11/2024,25,541.14,27057.0,26515.86
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,08/11/2024,24,0.0,25974.72,25974.72
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,21/11/2024,24,0.0,16704.0,16704.0
3,Angels Natural Locs,638.0,20/11/2024,5,63.8,3190.0,3126.2
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160.0,16/11/2024,3,0.0,3480.0,3480.0
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,16/11/2024,11,0.0,11905.08,11905.08
10,Amara body lotion men,232.0,29/11/2024,18,0.0,4176.0,4176.0
35,Garnier ven & matte soft smoothing 125 ml,392.08,11/11/2024,21,164.67,8233.68,8069.01
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,30/11/2024,17,367.98,18398.76,18030.78
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,10/11/2024,12,222.72,11136.0,10913.28
7,Bamsi Hair fertilizer,58.0,25/11/2024,2,0.0,116.0,116.0
2,Darling Fluffy Kinky,406.0,22/11/2024,2,0.0,812.0,812.0
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,24/11/2024,2,0.0,18000.88,18000.88
14,Movit Styling Gel,162.4,18/11/2024,25,0.0,4060.0,4060.0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,06/11/2024,24,0.0,29232.0,29232.0
14,Movit Styling Gel,162.4,08/11/2024,25,0.0,4060.0,4060.0
11,Amara body lotion coco butter,232.0,01/11/2024,22,0.0,5104.0,5104.0
32,Garnier Micellar Cleansing Water 400 Ml,2262.0,21/11/2024,14,0.0,31668.0,31668.0
2,Darling Fluffy Kinky,406.0,30/11/2024,13,0.0,5278.0,5278.0
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160.0,02/11/2024,24,0.0,27840.0,27840.0
6,Baby Love Anti-dandruffs,301.6,02/11/2024,18,0.0,5428.8,5428.8
8,Radiant Anti-dandruff,92.8,22/11/2024,14,0.0,1299.2,1299.2
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,25/11/2024,10,0.0,11994.4,11994.4
33,Garnier oil control complete vanishing cream 40 ml,2400.04,14/11/2024,10,0.0,24000.4,24000.4
2,Darling Fluffy Kinky,406.0,28/11/2024,9,0.0,3654.0,3654.0
8,Radiant Anti-dandruff,92.8,04/11/2024,14,25.98,1299.2,1273.22
13,Movit Curl Gel,220.4,25/11/2024,12,52.9,2644.8,2591.9
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928.0,22/11/2024,9,167.04,8352.0,8184.96
35,Garnier ven & matte soft smoothing 125 ml,392.08,23/11/2024,23,0.0,9017.84,9017.84
3,Angels Natural Locs,638.0,07/11/2024,7,89.32,4466.0,4376.68
4,Tamasha Dread,324.8,06/11/2024,3,0.0,974.4,974.4
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,14/11/2024,24,584.64,29232.0,28647.36
6,Baby Love Anti-dandruffs,301.6,21/11/2024,23,138.74,6936.8,6798.06
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,01/11/2024,11,616.05,30802.64,30186.59
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1160.0,27/11/2024,14,324.8,16240.0,15915.2
35,Garnier ven & matte soft smoothing 125 ml,392.08,20/11/2024,23,0.0,9017.84,9017.84
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,25/11/2024,12,278.4,13920.0,13641.6
2,Darling Fluffy Kinky,406.0,10/11/2024,10,81.2,4060.0,3978.8
