sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
11,Amara body lotion coco butter,232.0,07/10/2024,7,32.48,1624.0,1591.52
3,Angels Natural Locs,638.0,31/10/2024,9,0.0,5742.0,5742.0
9,Amara body lotion milk,133.4,13/10/2024,25,0.0,3335.0,3335.0
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,11/10/2024,21,389.76,19488.0,19098.24
4,Tamasha Dread,324.8,15/10/2024,13,0.0,4222.4,4222.4
14,Movit Styling Gel,162.4,04/10/2024,14,45.47,2273.6,2228.13
9,Amara body lotion milk,133.4,10/10/2024,16,42.69,2134.4,2091.71
27,MAYBELLINE BABY LIPS BALM CHERRY ME,290.0,16/10/2024,24,139.2,6960.0,6820.8
6,Baby Love Anti-dandruffs,301.6,03/10/2024,23,138.74,6936.8,6798.06
3,Angels Natural Locs,638.0,16/10/2024,3,0.0,1914.0,1914.0
9,Amara body lotion milk,133.4,02/10/2024,3,0.0,400.2,400.2
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,07/10/2024,14,194.88,9744.0,9549.12
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928.0,05/10/2024,3,55.68,2784.0,2728.32
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,23/10/2024,24,1344.12,67205.76,65861.64
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218.0,16/10/2024,18,438.48,21924.0,21485.52
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,03/10/2024,6,0.0,7196.64,7196.64
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,05/10/2024,25,580.0,29000.0,28420.0
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,01/10/2024,8,448.04,22401.92,21953.88
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,21/10/2024,25,0.0,17400.0,17400.0
25,MAYBELLINE LASH SENSATIONAL MASCARA,928.0,15/10/2024,11,0.0,10208.0,10208.0
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290.0,21/10/2024,15,0.0,4350.0,4350.0
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1160.0,02/10/2024,17,0.0,19720.0,19720.0
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160.0,05/10/2024,10,232.0,11600.0,11368.0
10,Amara body lotion men,232.0,09/10/2024,7,32.48,1624.0,1591.52
35,Garnier ven & matte soft smoothing 125 ml,392.08,25/10/2024,14,0.0,5489.12,5489.12
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,14/10/2024,18,0.0,162007.92,162007.92
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,21/10/2024,10,239.89,11994.4,11754.51
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160.0,25/10/2024,17,0.0,19720.0,19720.0
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,08/10/2024,13,281.39,14069.64,13788.25
2,Darling Fluffy Kinky,406.0,29/10/2024,16,129.92,6496.0,6366.08
7,Bamsi Hair fertilizer,58.0,15/10/2024,25,0.0,1450.0,1450.0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160.0,29/10/2024,18,0.0,20880.0,20880.0
14,Movit Styling Gel,162.4,02/10/2024,8,0.0,1299.2,1299.2
6,Baby Love Anti-dandruffs,301.6,25/10/2024,9,54.29,2714.4,2660.11
8,Radiant Anti-dandruff,92.8,03/10/2024,1,0.0,92.8,92.8
33,Garnier oil control complete vanishing cream 40 ml,2400.04,04/10/2024,18,864.01,43200.72,42336.71
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,19/10/2024,6,0.0,6493.68,6493.68
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,22/10/2024,20,0.0,21645.6,21645.6
10,Amara body lotion men,232.0,22/10/2024,18,83.52,4176.0,4092.48
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,17/10/2024,12,259.75,12987.36,12727.61
14,Movit Styling Gel,162.4,31/10/2024,1,0.0,162.4,162.4
3,Angels Natural Locs,638.0,10/10/2024,16,0.0,10208.0,10208.0
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1160.0,24/10/2024,12,278.4,13920.0,13641.6
9,Amara body lotion milk,133.4,14/10/2024,12,0.0,1600.8,1600.8
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928.0,05/10/2024,19,352.64,17632.0,17279.36
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,29/10/2024,11,0.0,13193.84,13193.84
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696.0,15/10/2024,1,13.92,696.0,682.08
9,Amara body lotion milk,133.4,07/10/2024,6,16.01,800.4,784.39
10,Amara body lotion men,232.0,24/10/2024,25,116.0,5800.0,5684.0
10,Amara body lotion men,232.0,18/10/2024,18,83.52,4176.0,4092.48
