sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
11,Amara body lotion coco butter,269.12,26/04/2025,23,0.0,6189.76,6189.76
34,Garnier Pure Active Intensive Spots,15105.7056,20/04/2025,20,6042.28,302114.11,296071.83
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,05/04/2025,16,0.0,128122.65,128122.65
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,07/04/2025,21,452.12,22606.08,22153.96
34,Garnier Pure Active Intensive Spots,15105.7056,08/04/2025,10,0.0,151057.06,151057.06
34,Garnier Pure Active Intensive Spots,15105.7056,15/04/2025,1,302.11,15105.71,14803.6
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,11/04/2025,17,0.0,21342.56,21342.56
13,Movit Curl Gel,255.664,13/04/2025,4,20.45,1022.66,1002.21
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,12/04/2025,24,161.47,8073.6,7912.13
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,02/04/2025,10,2088.1,104405.1,102317.0
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,11/04/2025,19,0.0,152145.65,152145.65
11,Amara body lotion coco butter,269.12,18/04/2025,10,53.82,2691.2,2637.38
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,26/04/2025,24,602.61,30130.68,29528.07
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,06/04/2025,16,401.74,20087.12,19685.38
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,13/04/2025,24,645.89,32294.4,31648.51
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,24/04/2025,6,161.47,8073.6,7912.13
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,11/04/2025,22,1224.98,61249.02,60024.04
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,04/04/2025,12,333.92,16696.2,16362.28
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,18/04/2025,15,403.68,20184.0,19780.32
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,01/04/2025,1,25.11,1255.44,1230.33
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,16/04/2025,9,0.0,12522.15,12522.15
35,Garnier ven & matte soft smoothing 125 ml,454.8128,11/04/2025,16,0.0,7277.0,7277.0
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,16/04/2025,15,376.63,18831.67,18455.04
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,20/04/2025,13,279.88,13994.24,13714.36
8,Radiant Anti-dandruff,107.648,16/04/2025,11,0.0,1184.13,1184.13
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,22/04/2025,21,0.0,26364.34,26364.34
11,Amara body lotion coco butter,269.12,21/04/2025,20,107.65,5382.4,5274.75
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,22/04/2025,3,157.44,7871.76,7714.32
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,07/04/2025,2,320.31,16015.33,15695.02
9,Amara body lotion milk,154.744,24/04/2025,18,55.71,2785.39,2729.68
9,Amara body lotion milk,154.744,15/04/2025,7,21.66,1083.21,1061.55
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,10/04/2025,7,0.0,73083.57,73083.57
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,17/04/2025,1,0.0,336.4,336.4
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,13/04/2025,15,376.63,18831.67,18455.04
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,07/04/2025,3,626.43,31321.53,30695.1
3,Angels Natural Locs,740.08,16/04/2025,11,162.82,8140.88,7978.06
8,Radiant Anti-dandruff,107.648,23/04/2025,16,34.45,1722.37,1687.92
14,Movit Styling Gel,188.384,23/04/2025,2,7.54,376.77,369.23
9,Amara body lotion milk,154.744,17/04/2025,23,71.18,3559.11,3487.93
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1412.88,27/04/2025,9,254.32,12715.92,12461.6
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,18/04/2025,23,1494.21,74710.4,73216.19
34,Garnier Pure Active Intensive Spots,15105.7056,11/04/2025,4,0.0,60422.82,60422.82
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,20/04/2025,17,366.0,18300.16,17934.16
11,Amara body lotion coco butter,269.12,06/04/2025,8,43.06,2152.96,2109.9
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,17/04/2025,10,0.0,32482.78,32482.78
3,Angels Natural Locs,740.08,06/04/2025,13,0.0,9621.04,9621.04
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,28/04/2025,21,0.0,219250.72,219250.72
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,29/04/2025,18,0.0,19376.64,19376.64
2,Darling Fluffy Kinky,470.96,14/04/2025,11,0.0,5180.56,5180.56
4,Tamasha Dread,376.768,28/04/2025,15,113.03,5651.52,5538.49
