sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
11,Amara body lotion coco butter,269.12,06/07/2025,23,123.8,6189.76,6065.96
4,Tamasha Dread,376.768,28/07/2025,9,67.82,3390.91,3323.09
2,Darling Fluffy Kinky,470.96,11/07/2025,2,0.0,941.92,941.92
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1345.6,18/07/2025,24,0.0,32294.4,32294.4
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,22/07/2025,25,672.8,33640.0,32967.2
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,07/07/2025,23,495.18,24759.04,24263.86
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,25/07/2025,22,592.06,29603.2,29011.14
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,16/07/2025,18,0.0,19376.64,19376.64
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,13/07/2025,11,0.0,13809.89,13809.89
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,01/07/2025,21,0.0,55102.32,55102.32
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,04/07/2025,16,0.0,20087.12,20087.12
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,19/07/2025,4,209.91,10495.68,10285.77
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,16/07/2025,9,242.21,12110.4,11868.19
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,18/07/2025,7,47.1,2354.8,2307.7
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,15/07/2025,5,324.83,16241.39,15916.56
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,24/07/2025,17,892.13,44606.64,43714.51
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,18/07/2025,1,25.11,1255.44,1230.33
4,Tamasha Dread,376.768,12/07/2025,24,180.85,9042.43,8861.58
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1412.88,09/07/2025,16,0.0,22606.08,22606.08
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,06/07/2025,24,1336.34,66817.11,65480.77
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,21/07/2025,18,500.89,25044.31,24543.42
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,05/07/2025,9,501.13,25056.42,24555.29
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,15/07/2025,15,0.0,16147.2,16147.2
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,21/07/2025,16,0.0,41982.72,41982.72
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,03/07/2025,4,111.31,5565.4,5454.09
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,07/07/2025,20,556.54,27827.01,27270.47
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,04/07/2025,6,150.65,7532.67,7382.02
8,Radiant Anti-dandruff,107.648,20/07/2025,1,0.0,107.65,107.65
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,15/07/2025,25,0.0,26912.0,26912.0
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,09/07/2025,13,723.85,36192.6,35468.75
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,20/07/2025,7,0.0,18367.44,18367.44
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,11/07/2025,15,100.92,5046.0,4945.08
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,13/07/2025,5,0.0,6277.22,6277.22
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,21/07/2025,12,80.74,4036.8,3956.06
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,14/07/2025,2,13.46,672.8,659.34
13,Movit Curl Gel,255.664,18/07/2025,14,0.0,3579.3,3579.3
1,Angels Avis Long,94.192,21/07/2025,6,0.0,565.15,565.15
9,Amara body lotion milk,154.744,01/07/2025,21,64.99,3249.62,3184.63
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,23/07/2025,19,0.0,25566.4,25566.4
4,Tamasha Dread,376.768,09/07/2025,13,97.96,4897.98,4800.02
6,Baby Love Anti-dandruffs,349.856,24/07/2025,7,0.0,2448.99,2448.99
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,06/07/2025,4,0.0,4305.92,4305.92
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,16/07/2025,4,0.0,12993.11,12993.11
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,01/07/2025,1,27.83,1391.35,1363.52
3,Angels Natural Locs,740.08,11/07/2025,24,0.0,17761.92,17761.92
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,26/07/2025,21,0.0,26364.34,26364.34
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,18/07/2025,2,0.0,672.8,672.8
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,13/07/2025,7,150.71,7535.36,7384.65
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,23/07/2025,21,565.15,28257.6,27692.45
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,28/07/2025,1,0.0,10440.51,10440.51
