sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
34,Garnier Pure Active Intensive Spots,15105.7056,02/06/2025,23,0.0,347431.23,347431.23
35,Garnier ven & matte soft smoothing 125 ml,454.8128,22/06/2025,24,0.0,10915.51,10915.51
14,Movit Styling Gel,188.384,28/06/2025,7,26.37,1318.69,1292.32
34,Garnier Pure Active Intensive Spots,15105.7056,18/06/2025,1,0.0,15105.71,15105.71
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,03/06/2025,2,0.0,2152.96,2152.96
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,07/06/2025,2,0.0,2691.2,2691.2
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,28/06/2025,22,612.19,30609.71,29997.52
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,01/06/2025,19,0.0,26435.66,26435.66
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,18/06/2025,20,0.0,55680.93,55680.93
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,27/06/2025,25,0.0,65598.0,65598.0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,23/06/2025,18,484.42,24220.8,23736.38
8,Radiant Anti-dandruff,107.648,12/06/2025,1,0.0,107.65,107.65
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,23/06/2025,6,0.0,48045.99,48045.99
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,08/06/2025,19,3042.91,152145.65,149102.74
13,Movit Curl Gel,255.664,27/06/2025,10,51.13,2556.64,2505.51
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,21/06/2025,10,0.0,80076.66,80076.66
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,07/06/2025,18,1169.38,58469.01,57299.63
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,16/06/2025,1,27.83,1391.35,1363.52
4,Tamasha Dread,376.768,28/06/2025,11,0.0,4144.45,4144.45
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,10/06/2025,1,55.68,2784.05,2728.37
8,Radiant Anti-dandruff,107.648,06/06/2025,23,0.0,2475.9,2475.9
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,07/06/2025,20,134.56,6728.0,6593.44
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,07/06/2025,5,324.83,16241.39,15916.56
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1412.88,02/06/2025,18,0.0,25431.84,25431.84
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,27/06/2025,25,0.0,31386.12,31386.12
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,08/06/2025,18,387.53,19376.64,18989.11
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,24/06/2025,22,0.0,23682.56,23682.56
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,20/06/2025,18,0.0,22598.01,22598.01
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,20/06/2025,25,627.72,31386.12,30758.4
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,29/06/2025,20,430.59,21529.6,21099.01
6,Baby Love Anti-dandruffs,349.856,06/06/2025,3,20.99,1049.57,1028.58
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1345.6,25/06/2025,12,0.0,16147.2,16147.2
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,07/06/2025,19,0.0,198369.7,198369.7
35,Garnier ven & matte soft smoothing 125 ml,454.8128,21/06/2025,8,0.0,3638.5,3638.5
3,Angels Natural Locs,740.08,27/06/2025,12,177.62,8880.96,8703.34
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,30/06/2025,4,0.0,5021.78,5021.78
34,Garnier Pure Active Intensive Spots,15105.7056,13/06/2025,9,0.0,135951.35,135951.35
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,17/06/2025,10,0.0,13456.0,13456.0
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,30/06/2025,7,47.1,2354.8,2307.7
6,Baby Love Anti-dandruffs,349.856,08/06/2025,7,48.98,2448.99,2400.01
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,07/06/2025,19,0.0,23853.45,23853.45
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,16/06/2025,12,0.0,16696.2,16696.2
6,Baby Love Anti-dandruffs,349.856,21/06/2025,25,174.93,8746.4,8571.47
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,02/06/2025,10,0.0,10764.8,10764.8
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,02/06/2025,5,33.64,1682.0,1648.36
9,Amara body lotion milk,154.744,13/06/2025,16,49.52,2475.9,2426.38
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,23/06/2025,15,322.94,16147.2,15824.26
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,10/06/2025,13,0.0,17492.8,17492.8
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,02/06/2025,9,1879.29,93964.59,92085.3
3,Angels Natural Locs,740.08,07/06/2025,12,0.0,8880.96,8880.96
