sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,29/03/2025,6,166.96,8348.1,8181.14
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,14/03/2025,15,0.0,20184.0,20184.0
14,Movit Styling Gel,188.384,16/03/2025,14,52.75,2637.38,2584.63
13,Movit Curl Gel,255.664,18/03/2025,5,0.0,1278.32,1278.32
35,Garnier ven & matte soft smoothing 125 ml,454.8128,26/03/2025,10,0.0,4548.13,4548.13
6,Baby Love Anti-dandruffs,349.856,14/03/2025,5,34.99,1749.28,1714.29
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,16/03/2025,22,0.0,29603.2,29603.2
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,24/03/2025,13,349.86,17492.8,17142.94
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,22/03/2025,7,0.0,2354.8,2354.8
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,11/03/2025,14,0.0,18838.4,18838.4
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,13/03/2025,3,0.0,4036.8,4036.8
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,10/03/2025,14,0.0,45475.9,45475.9
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,21/03/2025,13,349.86,17492.8,17142.94
4,Tamasha Dread,376.768,08/03/2025,22,165.78,8288.9,8123.12
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,18/03/2025,16,839.65,41982.72,41143.07
3,Angels Natural Locs,740.08,13/03/2025,21,0.0,15541.68,15541.68
34,Garnier Pure Active Intensive Spots,15105.7056,29/03/2025,23,6948.62,347431.23,340482.61
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,24/03/2025,12,80.74,4036.8,3956.06
13,Movit Curl Gel,255.664,19/03/2025,15,76.7,3834.96,3758.26
3,Angels Natural Locs,740.08,13/03/2025,5,74.01,3700.4,3626.39
11,Amara body lotion coco butter,269.12,27/03/2025,15,0.0,4036.8,4036.8
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,26/03/2025,23,0.0,32001.06,32001.06
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,08/03/2025,12,301.31,15065.34,14764.03
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,01/03/2025,6,0.0,7532.67,7532.67
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,31/03/2025,13,349.86,17492.8,17142.94
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,29/03/2025,15,417.41,20870.26,20452.85
11,Amara body lotion coco butter,269.12,30/03/2025,6,32.29,1614.72,1582.43
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,13/03/2025,2,53.82,2691.2,2637.38
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,29/03/2025,23,0.0,7737.2,7737.2
35,Garnier ven & matte soft smoothing 125 ml,454.8128,06/03/2025,7,0.0,3183.69,3183.69
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,27/03/2025,24,667.85,33392.41,32724.56
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,04/03/2025,24,0.0,30130.68,30130.68
3,Angels Natural Locs,740.08,09/03/2025,23,340.44,17021.84,16681.4
1,Angels Avis Long,94.192,08/03/2025,15,28.26,1412.88,1384.62
11,Amara body lotion coco butter,269.12,26/03/2025,24,0.0,6458.88,6458.88
4,Tamasha Dread,376.768,19/03/2025,9,67.82,3390.91,3323.09
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,06/03/2025,15,0.0,5046.0,5046.0
9,Amara body lotion milk,154.744,22/03/2025,7,21.66,1083.21,1061.55
6,Baby Love Anti-dandruffs,349.856,06/03/2025,17,0.0,5947.55,5947.55
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,807.36,09/03/2025,24,0.0,19376.64,19376.64
11,Amara body lotion coco butter,269.12,22/03/2025,7,37.68,1883.84,1846.16
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,27/03/2025,15,0.0,20184.0,20184.0
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,09/03/2025,20,1299.31,64965.57,63666.26
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,03/03/2025,3,20.18,1009.2,989.02
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,25/03/2025,23,0.0,24759.04,24759.04
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,10/03/2025,21,0.0,219250.72,219250.72
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,19/03/2025,20,0.0,26912.0,26912.0
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,14/03/2025,1,21.53,1076.48,1054.95
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,13/03/2025,5,107.65,5382.4,5274.75
34,Garnier Pure Active Intensive Spots,15105.7056,28/03/2025,1,0.0,15105.71,15105.71
