sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,11/05/2025,19,127.83,6391.6,6263.77
6,Baby Love Anti-dandruffs,349.856,24/05/2025,12,83.97,4198.27,4114.3
35,Garnier ven & matte soft smoothing 125 ml,454.8128,11/05/2025,14,127.35,6367.38,6240.03
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,06/05/2025,22,0.0,23682.56,23682.56
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,18/05/2025,15,0.0,16147.2,16147.2
3,Angels Natural Locs,740.08,04/05/2025,2,0.0,1480.16,1480.16
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,24/05/2025,8,53.82,2691.2,2637.38
35,Garnier ven & matte soft smoothing 125 ml,454.8128,18/05/2025,2,18.19,909.63,891.44
7,Bamsi Hair fertilizer,67.28,17/05/2025,4,5.38,269.12,263.74
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,18/05/2025,18,0.0,19376.64,19376.64
8,Radiant Anti-dandruff,107.648,03/05/2025,10,0.0,1076.48,1076.48
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1345.6,21/05/2025,14,376.77,18838.4,18461.63
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,07/05/2025,15,403.68,20184.0,19780.32
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,28/05/2025,9,0.0,11299.0,11299.0
35,Garnier ven & matte soft smoothing 125 ml,454.8128,22/05/2025,12,0.0,5457.75,5457.75
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,28/05/2025,1,6.73,336.4,329.67
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,02/05/2025,20,0.0,25108.9,25108.9
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,16/05/2025,6,0.0,6458.88,6458.88
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,20/05/2025,8,53.82,2691.2,2637.38
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,26/05/2025,22,473.65,23682.56,23208.91
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,12/05/2025,12,301.31,15065.34,14764.03
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,10/05/2025,2,0.0,2691.2,2691.2
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,23/05/2025,24,0.0,25835.52,25835.52
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,16/05/2025,9,250.44,12522.15,12271.71
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,05/05/2025,1,0.0,10440.51,10440.51
13,Movit Curl Gel,255.664,16/05/2025,22,112.49,5624.61,5512.12
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,807.36,18/05/2025,16,0.0,12917.76,12917.76
34,Garnier Pure Active Intensive Spots,15105.7056,08/05/2025,23,0.0,347431.23,347431.23
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,28/05/2025,23,0.0,24759.04,24759.04
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1345.6,02/05/2025,18,0.0,24220.8,24220.8
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,26/05/2025,11,276.2,13809.89,13533.69
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,03/05/2025,3,626.43,31321.53,30695.1
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,25/05/2025,15,0.0,16147.2,16147.2
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,31/05/2025,11,0.0,114845.61,114845.61
6,Baby Love Anti-dandruffs,349.856,15/05/2025,22,153.94,7696.83,7542.89
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,23/05/2025,6,150.65,7532.67,7382.02
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,17/05/2025,16,344.47,17223.68,16879.21
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,02/05/2025,19,0.0,20453.12,20453.12
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,15/05/2025,19,0.0,20453.12,20453.12
3,Angels Natural Locs,740.08,08/05/2025,1,0.0,740.08,740.08
35,Garnier ven & matte soft smoothing 125 ml,454.8128,11/05/2025,7,63.67,3183.69,3120.02
10,Amara body lotion men,269.12,19/05/2025,15,0.0,4036.8,4036.8
14,Movit Styling Gel,188.384,21/05/2025,10,37.68,1883.84,1846.16
9,Amara body lotion milk,154.744,18/05/2025,7,21.66,1083.21,1061.55
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,16/05/2025,17,1104.41,55220.73,54116.32
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,07/05/2025,15,403.68,20184.0,19780.32
13,Movit Curl Gel,255.664,03/05/2025,14,71.59,3579.3,3507.71
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1345.6,09/05/2025,12,0.0,16147.2,16147.2
4,Tamasha Dread,376.768,29/05/2025,14,0.0,5274.75,5274.75
1,Angels Avis Long,94.192,29/05/2025,13,24.49,1224.5,1200.01
