sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,807.36,11/09/2025,17,274.5,13725.12,13450.62
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,13/09/2025,8,0.0,2691.2,2691.2
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1412.88,10/09/2025,13,0.0,18367.44,18367.44
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,08/09/2025,8,0.0,10764.8,10764.8
8,Radiant Anti-dandruff,107.648,18/09/2025,12,25.84,1291.78,1265.94
1,Angels Avis Long,94.192,16/09/2025,21,39.56,1978.03,1938.47
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,15/09/2025,24,0.0,25835.52,25835.52
7,Bamsi Hair fertilizer,67.28,25/09/2025,4,0.0,269.12,269.12
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,06/09/2025,17,457.5,22875.2,22417.7
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,29/09/2025,7,0.0,8788.11,8788.11
10,Amara body lotion men,269.12,14/09/2025,24,129.18,6458.88,6329.7
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,29/09/2025,14,389.58,19478.91,19089.33
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,25/09/2025,24,0.0,25835.52,25835.52
4,Tamasha Dread,376.768,07/09/2025,21,0.0,7912.13,7912.13
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,15/09/2025,25,0.0,8410.0,8410.0
14,Movit Styling Gel,188.384,28/09/2025,11,0.0,2072.22,2072.22
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,23/09/2025,17,0.0,21342.56,21342.56
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,30/09/2025,4,86.12,4305.92,4219.8
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,18/09/2025,23,640.02,32001.06,31361.04
14,Movit Styling Gel,188.384,06/09/2025,5,18.84,941.92,923.08
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,04/09/2025,22,552.4,27619.79,27067.39
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,18/09/2025,12,0.0,12917.76,12917.76
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,15/09/2025,4,0.0,11136.19,11136.19
10,Amara body lotion men,269.12,15/09/2025,21,0.0,5651.52,5651.52
4,Tamasha Dread,376.768,02/09/2025,10,75.35,3767.68,3692.33
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,18/09/2025,13,0.0,42227.62,42227.62
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,28/09/2025,16,0.0,167048.17,167048.17
11,Amara body lotion coco butter,269.12,02/09/2025,15,0.0,4036.8,4036.8
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1255.4448,07/09/2025,9,225.98,11299.0,11073.02
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,12/09/2025,4,0.0,5021.78,5021.78
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,08/09/2025,3,0.0,3766.33,3766.33
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,11/09/2025,21,0.0,29218.36,29218.36
1,Angels Avis Long,94.192,10/09/2025,12,22.61,1130.3,1107.69
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1391.3504,23/09/2025,1,0.0,1391.35,1391.35
33,Garnier oil control complete vanishing cream 40 ml,2784.0464,19/09/2025,5,278.4,13920.23,13641.83
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,02/09/2025,18,451.96,22598.01,22146.05
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,10/09/2025,4,0.0,1345.6,1345.6
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1345.6,04/09/2025,3,80.74,4036.8,3956.06
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,07/09/2025,21,0.0,22606.08,22606.08
8,Radiant Anti-dandruff,107.648,04/09/2025,18,0.0,1937.66,1937.66
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,20/09/2025,7,150.71,7535.36,7384.65
13,Movit Curl Gel,255.664,06/09/2025,22,112.49,5624.61,5512.12
35,Garnier ven & matte soft smoothing 125 ml,454.8128,28/09/2025,15,136.44,6822.19,6685.75
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,08/09/2025,5,0.0,5382.4,5382.4
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,15/09/2025,15,0.0,16147.2,16147.2
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,14/09/2025,12,2505.72,125286.12,122780.4
34,Garnier Pure Active Intensive Spots,15105.7056,15/09/2025,3,0.0,45317.12,45317.12
3,Angels Natural Locs,740.08,18/09/2025,3,0.0,2220.24,2220.24
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1255.4448,13/09/2025,24,0.0,30130.68,30130.68
1,Angels Avis Long,94.192,26/09/2025,3,5.65,282.58,276.93
